year,county,cause,sex,age_code,N
105,0101,01,1,14,1
105,0101,01,1,15,1
105,0101,01,1,16,3
105,0101,01,1,17,3
105,0101,01,1,18,3
105,0101,01,1,19,1
105,0101,01,1,20,1
105,0101,01,1,21,1
105,0101,01,2,17,1
105,0101,01,2,19,1
105,0101,02,1,23,1
105,0101,02,2,16,1
105,0101,03,1,15,1
105,0101,03,1,19,1
105,0101,03,1,21,1
105,0101,03,1,22,1
105,0101,03,2,17,2
105,0101,04,1,14,1
105,0101,04,1,16,1
105,0101,04,1,17,1
105,0101,04,1,18,2
105,0101,04,1,21,1
105,0101,04,2,24,1
105,0101,05,1,16,2
105,0101,05,1,18,1
105,0101,05,1,19,1
105,0101,05,1,20,1
105,0101,05,1,21,2
105,0101,05,1,23,2
105,0101,05,1,24,3
105,0101,05,1,25,1
105,0101,05,2,17,1
105,0101,05,2,18,3
105,0101,05,2,22,2
105,0101,05,2,23,1
105,0101,07,1,15,1
105,0101,07,1,16,1
105,0101,07,1,17,2
105,0101,07,1,18,1
105,0101,07,1,19,4
105,0101,07,1,20,2
105,0101,07,1,21,4
105,0101,07,1,22,6
105,0101,07,1,23,7
105,0101,07,1,24,3
105,0101,07,1,25,1
105,0101,07,2,18,2
105,0101,07,2,19,2
105,0101,07,2,20,2
105,0101,07,2,21,1
105,0101,07,2,22,5
105,0101,07,2,23,5
105,0101,08,1,14,1
105,0101,08,1,15,6
105,0101,08,1,16,1
105,0101,08,1,17,2
105,0101,08,1,18,5
105,0101,08,1,19,4
105,0101,08,1,20,5
105,0101,08,1,21,6
105,0101,08,1,22,6
105,0101,08,1,23,4
105,0101,08,1,24,2
105,0101,08,2,16,1
105,0101,08,2,18,3
105,0101,08,2,19,3
105,0101,08,2,20,4
105,0101,08,2,21,5
105,0101,08,2,22,2
105,0101,08,2,23,1
105,0101,08,2,24,1
105,0101,09,1,18,1
105,0101,09,1,19,1
105,0101,09,1,21,1
105,0101,10,1,13,1
105,0101,10,1,17,4
105,0101,10,1,19,2
105,0101,10,1,22,5
105,0101,10,1,24,2
105,0101,10,1,25,1
105,0101,10,2,16,1
105,0101,10,2,17,1
105,0101,10,2,18,1
105,0101,10,2,19,3
105,0101,10,2,20,2
105,0101,10,2,22,2
105,0101,10,2,23,1
105,0101,10,2,24,1
105,0101,13,1,15,1
105,0101,13,1,16,2
105,0101,13,1,17,4
105,0101,13,1,18,4
105,0101,13,1,19,7
105,0101,13,1,20,8
105,0101,13,1,21,4
105,0101,13,1,22,6
105,0101,13,1,23,4
105,0101,13,1,24,5
105,0101,13,1,25,1
105,0101,13,2,14,1
105,0101,13,2,15,1
105,0101,13,2,16,2
105,0101,13,2,17,1
105,0101,13,2,18,2
105,0101,13,2,19,3
105,0101,13,2,20,5
105,0101,13,2,21,1
105,0101,13,2,22,3
105,0101,13,2,23,3
105,0101,13,2,24,4
105,0101,13,2,25,1
105,0101,15,2,19,1
105,0101,17,1,19,1
105,0101,17,1,25,1
105,0101,17,2,18,1
105,0101,17,2,21,1
105,0101,18,1,11,1
105,0101,18,1,19,1
105,0101,18,1,22,2
105,0101,18,1,23,1
105,0101,18,2,14,1
105,0101,18,2,16,1
105,0101,19,2,09,1
105,0101,19,2,12,2
105,0101,19,2,14,2
105,0101,19,2,16,2
105,0101,19,2,17,7
105,0101,19,2,18,2
105,0101,19,2,19,3
105,0101,19,2,20,3
105,0101,19,2,22,3
105,0101,19,2,23,3
105,0101,19,2,26,1
105,0101,20,2,16,1
105,0101,20,2,18,2
105,0101,20,2,19,1
105,0101,20,2,20,2
105,0101,20,2,21,1
105,0101,20,2,22,1
105,0101,21,2,17,1
105,0101,21,2,21,1
105,0101,21,2,24,1
105,0101,22,2,10,1
105,0101,22,2,11,1
105,0101,22,2,16,3
105,0101,22,2,17,1
105,0101,22,2,20,1
105,0101,22,2,23,2
105,0101,23,1,17,1
105,0101,23,1,18,1
105,0101,23,1,20,3
105,0101,23,1,21,4
105,0101,23,1,22,2
105,0101,23,1,23,4
105,0101,23,1,24,1
105,0101,23,1,25,1
105,0101,25,1,22,1
105,0101,25,2,15,1
105,0101,25,2,19,1
105,0101,25,2,21,4
105,0101,26,1,20,1
105,0101,26,1,21,1
105,0101,26,1,22,1
105,0101,26,1,23,1
105,0101,26,1,24,1
105,0101,26,1,25,1
105,0101,26,2,18,1
105,0101,26,2,19,1
105,0101,26,2,24,2
105,0101,26,2,25,1
105,0101,27,1,15,1
105,0101,27,1,19,1
105,0101,27,1,21,1
105,0101,27,1,23,1
105,0101,27,2,22,1
105,0101,28,1,12,1
105,0101,29,1,20,1
105,0101,31,1,16,2
105,0101,31,1,18,1
105,0101,31,1,19,1
105,0101,31,1,20,2
105,0101,31,1,22,1
105,0101,31,1,23,1
105,0101,31,1,24,1
105,0101,31,1,26,1
105,0101,31,2,13,1
105,0101,31,2,18,1
105,0101,31,2,19,1
105,0101,31,2,20,1
105,0101,31,2,21,1
105,0101,31,2,22,1
105,0101,31,2,23,1
105,0101,31,2,24,2
105,0101,32,2,10,1
105,0101,32,2,15,1
105,0101,32,2,19,2
105,0101,32,2,22,1
105,0101,33,1,18,1
105,0101,33,1,19,2
105,0101,33,1,20,2
105,0101,33,1,21,1
105,0101,33,1,22,2
105,0101,33,1,23,1
105,0101,33,1,24,1
105,0101,33,2,09,1
105,0101,33,2,14,1
105,0101,33,2,16,1
105,0101,33,2,17,1
105,0101,33,2,20,1
105,0101,33,2,21,2
105,0101,33,2,22,2
105,0101,33,2,23,2
105,0101,33,2,24,1
105,0102,01,1,15,2
105,0102,01,1,16,3
105,0102,01,1,17,1
105,0102,01,1,18,4
105,0102,01,1,19,4
105,0102,01,1,21,1
105,0102,01,1,24,1
105,0102,01,1,25,1
105,0102,01,2,21,2
105,0102,01,2,23,1
105,0102,01,2,24,1
105,0102,02,1,21,1
105,0102,02,2,22,1
105,0102,03,1,16,1
105,0102,03,1,17,1
105,0102,03,1,20,1
105,0102,03,2,18,1
105,0102,03,2,20,1
105,0102,04,1,11,1
105,0102,04,1,15,1
105,0102,04,1,16,2
105,0102,04,1,17,1
105,0102,04,1,18,1
105,0102,04,1,19,1
105,0102,04,1,23,1
105,0102,04,1,24,1
105,0102,04,2,15,1
105,0102,04,2,17,1
105,0102,04,2,21,1
105,0102,04,2,22,1
105,0102,05,1,16,3
105,0102,05,1,17,2
105,0102,05,1,19,3
105,0102,05,1,20,2
105,0102,05,1,22,4
105,0102,05,1,23,4
105,0102,05,1,24,5
105,0102,05,1,25,2
105,0102,05,2,13,1
105,0102,05,2,15,1
105,0102,05,2,16,2
105,0102,05,2,17,1
105,0102,05,2,18,3
105,0102,05,2,20,1
105,0102,05,2,22,3
105,0102,05,2,23,1
105,0102,05,2,24,2
105,0102,05,2,25,1
105,0102,06,1,21,1
105,0102,06,2,23,1
105,0102,07,1,14,1
105,0102,07,1,15,3
105,0102,07,1,16,2
105,0102,07,1,17,4
105,0102,07,1,18,1
105,0102,07,1,19,7
105,0102,07,1,20,4
105,0102,07,1,21,3
105,0102,07,1,22,3
105,0102,07,1,23,7
105,0102,07,1,24,4
105,0102,07,1,25,2
105,0102,07,2,14,1
105,0102,07,2,15,1
105,0102,07,2,16,6
105,0102,07,2,17,1
105,0102,07,2,18,4
105,0102,07,2,19,2
105,0102,07,2,20,2
105,0102,07,2,21,6
105,0102,07,2,22,8
105,0102,07,2,23,3
105,0102,07,2,24,4
105,0102,07,2,25,1
105,0102,08,1,17,4
105,0102,08,1,18,8
105,0102,08,1,19,8
105,0102,08,1,20,4
105,0102,08,1,21,9
105,0102,08,1,22,3
105,0102,08,1,23,4
105,0102,08,1,24,1
105,0102,08,2,14,1
105,0102,08,2,18,2
105,0102,08,2,19,4
105,0102,08,2,20,2
105,0102,08,2,21,3
105,0102,08,2,22,8
105,0102,08,2,23,7
105,0102,08,2,24,2
105,0102,08,2,25,1
105,0102,09,1,17,1
105,0102,09,1,19,1
105,0102,09,1,21,1
105,0102,09,1,22,1
105,0102,09,1,23,2
105,0102,09,2,19,1
105,0102,09,2,22,1
105,0102,09,2,24,1
105,0102,10,1,14,1
105,0102,10,1,15,1
105,0102,10,1,16,1
105,0102,10,1,17,1
105,0102,10,1,19,3
105,0102,10,1,20,4
105,0102,10,1,21,1
105,0102,10,1,22,5
105,0102,10,1,23,1
105,0102,10,1,24,1
105,0102,10,2,16,1
105,0102,10,2,19,1
105,0102,10,2,20,1
105,0102,10,2,21,1
105,0102,10,2,22,4
105,0102,10,2,23,2
105,0102,10,2,24,2
105,0102,11,2,19,1
105,0102,12,1,19,1
105,0102,12,1,20,1
105,0102,12,1,22,1
105,0102,12,1,23,1
105,0102,13,1,14,1
105,0102,13,1,15,4
105,0102,13,1,17,6
105,0102,13,1,18,8
105,0102,13,1,19,7
105,0102,13,1,20,9
105,0102,13,1,21,4
105,0102,13,1,22,15
105,0102,13,1,23,10
105,0102,13,1,24,7
105,0102,13,2,13,2
105,0102,13,2,15,2
105,0102,13,2,16,1
105,0102,13,2,17,2
105,0102,13,2,18,4
105,0102,13,2,19,11
105,0102,13,2,20,6
105,0102,13,2,21,5
105,0102,13,2,22,8
105,0102,13,2,23,9
105,0102,13,2,24,10
105,0102,13,2,25,3
105,0102,14,1,14,1
105,0102,15,1,20,1
105,0102,15,1,21,1
105,0102,16,2,21,1
105,0102,17,1,19,1
105,0102,17,1,20,1
105,0102,17,1,24,1
105,0102,18,1,14,1
105,0102,18,1,22,1
105,0102,18,1,23,2
105,0102,19,2,12,1
105,0102,19,2,13,1
105,0102,19,2,14,1
105,0102,19,2,15,1
105,0102,19,2,16,6
105,0102,19,2,17,5
105,0102,19,2,18,7
105,0102,19,2,19,2
105,0102,19,2,20,1
105,0102,19,2,21,2
105,0102,19,2,22,3
105,0102,19,2,23,4
105,0102,20,2,17,1
105,0102,20,2,19,1
